Time,l_per,l_abs,b_per,b_abs
1761461683,25.9,292,13.6,106
1761462327,25.9,292,13.6,106
1761464239,26.0,293,14.1,110
1761461690,26.1,294,14.3,112
1761461702,26.2,295,14.8,116
1761461887,27.0,304,15.2,119
1761462872,27.3,308,15.5,121
1761461847,27.8,313,15.7,123
1761462008,28.8,325,16.2,127
1761461966,30.2,340,16.8,131
1761462062,30.8,347,17.1,134
1761462270,32.2,363,17.5,137
1761462397,32.7,368,17.9,140
1761462906,33.2,374,18.3,143
1761463884,34.7,391,19.8,155
1761464880,35.7,402,20.6,161
1761465044,35.8,403,20.7,162
